"","�..Gemeente","X11.Mar","X12.Mar","X13.Mar","X14.Mar","X15.Mar","X16.Mar","X17.Mar","X18.Mar","X19.Mar","X20.Mar","X21.Mar","X22.Mar","X23.Mar","X24.Mar","X25.Mar","X26.Mar","X27.Mar"
"171","Leiden",1,1,4,4,4,8,8,11,12,NA,16,NA,16,20,21,28,30
"172","Leiderdorp",0,0,0,0,0,1,1,2,2,NA,2,NA,2,2,3,4,4
"173","Leidschendam-Voorburg",2,2,3,3,3,4,5,6,6,NA,9,NA,10,13,14,17,18
"174","Lelystad",1,1,3,6,7,8,10,12,13,NA,15,NA,21,24,26,27,29
"175","Leudal",3,4,4,6,6,7,8,11,13,NA,20,NA,23,26,29,32,37
"176","Leusden",0,0,0,0,0,1,1,3,4,NA,6,NA,7,9,13,13,16
"177","Lingewaard",2,2,2,3,3,3,3,4,5,NA,6,NA,10,11,14,14,22
"178","Lisse",0,0,0,0,0,0,0,0,0,NA,0,NA,1,1,2,2,3
"179","Lochem",0,0,0,0,0,0,0,1,1,NA,2,NA,2,2,6,8,11
"180","Loon op Zand",7,6,7,7,7,7,8,9,11,NA,14,NA,17,20,20,21,25
"181","Lopik",0,0,0,0,0,1,2,3,3,NA,4,NA,9,10,11,12,13
"182","Loppersum",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,1,1
"183","Losser",0,0,0,0,0,0,0,0,0,NA,1,NA,1,1,1,1,1
"184","Maasdriel",0,0,0,0,0,0,1,1,1,NA,2,NA,2,3,3,5,6
"185","Maasgouw",0,0,0,1,2,2,3,4,5,NA,7,NA,9,9,10,12,13
"186","Maassluis",0,0,0,1,1,1,1,2,2,NA,3,NA,6,7,7,8,11
"187","Maastricht",8,8,10,16,21,24,33,41,42,NA,57,NA,60,94,112,118,126
"188","Medemblik",0,0,0,0,0,0,0,0,0,NA,1,NA,4,4,4,6,8
"189","Meerssen",0,0,0,0,0,1,1,2,2,NA,2,NA,3,8,8,8,8
"190","Meierijstad",13,18,25,30,34,42,49,60,72,NA,95,NA,127,139,149,168,195
"191","Meppel",0,0,0,0,0,0,0,0,0,NA,1,NA,3,3,3,3,4
"192","Middelburg",0,0,0,0,0,1,1,2,3,NA,4,NA,6,6,7,8,9
"193","Midden-Delfland",0,0,0,0,0,0,0,0,1,NA,2,NA,2,2,2,2,3
"194","Midden-Drenthe",0,0,0,0,0,0,0,0,1,NA,1,NA,1,1,1,2,2
"195","Midden-Groningen",0,0,0,0,1,1,1,2,2,NA,2,NA,2,2,2,5,5
"196","Mill en Sint Hubert",0,0,0,0,1,1,1,1,2,NA,2,NA,2,5,5,5,7
"197","Moerdijk",0,1,1,1,1,1,1,1,2,NA,3,NA,3,4,5,5,6
"198","Molenlanden",0,0,0,0,1,2,3,7,9,NA,11,NA,11,13,16,16,17
"199","Montferland",0,0,0,0,0,0,0,1,1,NA,1,NA,3,3,3,4,5
"200","Montfoort",0,0,0,0,0,0,0,0,0,NA,0,NA,2,3,5,9,11
"201","Mook en Middelaar",0,0,0,0,0,0,0,0,1,NA,1,NA,3,5,5,5,5
"202","Neder-Betuwe",1,1,3,3,4,4,4,4,4,NA,5,NA,9,11,11,13,16
"203","Nederweert",0,0,1,3,3,3,5,7,7,NA,7,NA,9,11,14,18,21
"204","Nieuwegein",0,0,0,0,1,1,3,4,6,NA,9,NA,11,11,12,15,17
"205","Nieuwkoop",0,0,1,1,1,1,1,1,1,NA,2,NA,3,4,6,6,7
"206","Nijkerk",0,0,0,0,0,1,2,2,2,NA,4,NA,7,8,8,12,15
"207","Nijmegen",4,6,8,9,12,17,31,41,48,NA,60,NA,79,93,108,122,132
"208","Nissewaard",0,1,1,1,1,1,3,4,7,NA,12,NA,15,17,19,23,28
"209","Noardeast-FryslÃ¢n",0,0,0,0,0,0,0,0,1,NA,1,NA,2,3,3,3,4
"210","Noord-Beveland",0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,2,2,2
"211","Noordenveld",0,0,0,0,0,1,1,1,1,NA,1,NA,1,1,1,3,3
"212","Noordoostpolder",0,0,0,2,2,2,2,2,2,NA,3,NA,3,4,5,8,10
"213","Noordwijk",2,2,2,2,2,2,2,2,3,NA,3,NA,6,6,7,8,10
"214","Nuenen, Gerwen en Nederwetten",1,1,1,1,1,1,1,1,1,NA,1,NA,4,4,8,10,11
"215","Nunspeet",0,0,1,1,1,2,2,3,3,NA,9,NA,17,22,29,31,39
"216","Oegstgeest",2,2,2,4,4,4,4,4,5,NA,7,NA,7,8,9,9,12
"217","Oirschot",0,0,0,0,0,1,1,1,1,NA,1,NA,3,4,6,8,10
"218","Oisterwijk",4,5,6,6,6,9,10,10,10,NA,15,NA,16,16,18,21,23
"219","Oldambt",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0
"220","Oldebroek",0,1,1,1,1,2,2,5,5,NA,6,NA,7,8,12,16,19
"221","Oldenzaal",0,0,0,1,1,1,1,2,3,NA,6,NA,6,8,13,15,17
"222","Olst-Wijhe",0,0,0,0,0,0,0,0,0,NA,2,NA,2,4,6,6,6
"223","Ommen",0,0,0,1,1,1,1,2,2,NA,4,NA,6,6,7,7,7
"224","Oost Gelre",0,0,0,0,0,0,0,0,0,NA,2,NA,2,6,6,6,7
"225","Oosterhout",0,0,3,4,5,6,8,9,9,NA,13,NA,22,23,26,29,31
"226","Ooststellingwerf",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1,1,1
"227","Oostzaan",0,0,0,0,0,0,1,2,2,NA,3,NA,5,5,6,7,7
"228","Opmeer",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,2,2
"229","Opsterland",2,2,2,2,2,2,2,2,2,NA,2,NA,3,3,4,5,6
"230","Oss",2,3,3,4,5,11,14,20,26,NA,44,NA,65,73,81,100,128
"231","Oude IJsselstreek",0,0,0,0,0,1,2,2,2,NA,4,NA,4,4,4,5,5
"232","Ouder-Amstel",0,0,0,0,0,0,2,3,3,NA,4,NA,5,7,7,7,7
"233","Oudewater",0,0,0,0,1,1,1,1,2,NA,3,NA,4,7,10,12,18
"234","Overbetuwe",0,0,0,4,6,8,9,9,11,NA,20,NA,30,33,38,44,51
"235","Papendrecht",0,0,0,0,0,0,0,0,1,NA,2,NA,5,5,6,6,6
"236","Peel en Maas",3,4,8,10,14,19,31,36,41,NA,63,NA,69,79,88,96,107
"237","Pekela",0,1,1,1,1,1,1,1,1,NA,2,NA,2,2,2,2,2
"238","Pijnacker-Nootdorp",5,5,6,6,7,8,10,11,11,NA,11,NA,12,14,16,20,23
"239","Purmerend",1,1,2,2,2,2,2,4,7,NA,14,NA,22,23,32,39,48
"240","Putten",0,0,0,0,0,2,2,2,2,NA,3,NA,3,3,5,6,6
"241","Raalte",0,1,1,1,1,2,3,3,3,NA,3,NA,5,6,10,12,13
"242","Reimerswaal",0,1,1,1,1,2,2,3,4,NA,5,NA,5,6,7,7,7
