"","�..Gemeente","X11.Mar","X12.Mar","X13.Mar","X14.Mar","X15.Mar","X16.Mar","X17.Mar","X18.Mar","X19.Mar","X20.Mar","X21.Mar","X22.Mar","X23.Mar","X24.Mar","X25.Mar","X26.Mar","X27.Mar","X28.Mar","X29.Mar"
"195","Midden-Groningen",0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,5,5,6,6
"196","Mill en Sint Hubert",0,0,0,0,1,1,1,1,2,2,2,2,2,5,5,5,7,9,11
"197","Moerdijk",0,1,1,1,1,1,1,1,2,3,3,3,3,4,5,5,6,10,10
"198","Molenlanden",0,0,0,0,1,2,3,7,9,11,11,11,11,13,16,16,17,18,19
"199","Montferland",0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,4,5,6,10
"200","Montfoort",0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,9,11,12,14
"201","Mook en Middelaar",0,0,0,0,0,0,0,0,1,1,1,1,3,5,5,5,5,8,8
"202","Neder-Betuwe",1,1,3,3,4,4,4,4,4,5,5,9,9,11,11,13,16,20,31
"203","Nederweert",0,0,1,3,3,3,5,7,7,7,7,8,9,11,14,18,21,24,27
"204","Nieuwegein",0,0,0,0,1,1,3,4,6,8,9,9,11,11,12,15,17,25,30
"205","Nieuwkoop",0,0,1,1,1,1,1,1,1,1,2,3,3,4,6,6,7,8,10
"206","Nijkerk",0,0,0,0,0,1,2,2,2,2,4,4,7,8,8,12,15,18,18
"207","Nijmegen",4,6,8,9,12,17,31,41,48,55,60,68,79,93,108,122,132,149,178
"208","Nissewaard",0,1,1,1,1,1,3,4,7,11,12,15,15,17,19,23,28,37,38
"209","Noardeast-FryslÃ¢n",0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,4,4,6
"210","Noord-Beveland",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
"211","Noordenveld",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,5
"212","Noordoostpolder",0,0,0,2,2,2,2,2,2,2,3,3,3,4,5,8,10,10,11
"213","Noordwijk",2,2,2,2,2,2,2,2,3,2,3,6,6,6,7,8,10,15,17
"214","Nuenen, Gerwen en Nederwetten",1,1,1,1,1,1,1,1,1,1,1,3,4,4,8,10,11,13,14
"215","Nunspeet",0,0,1,1,1,2,2,3,3,4,9,13,17,22,29,31,39,43,45
"216","Oegstgeest",2,2,2,4,4,4,4,4,5,6,7,7,7,8,9,9,12,13,13
"217","Oirschot",0,0,0,0,0,1,1,1,1,1,1,3,3,4,6,8,10,11,14
"218","Oisterwijk",4,5,6,6,6,9,10,10,10,12,15,16,16,16,18,21,23,24,25
"219","Oldambt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"220","Oldebroek",0,1,1,1,1,2,2,5,5,5,6,7,7,8,12,16,19,22,28
"221","Oldenzaal",0,0,0,1,1,1,1,2,3,5,6,6,6,8,13,15,17,18,19
"222","Olst-Wijhe",0,0,0,0,0,0,0,0,0,0,2,2,2,4,6,6,6,6,8
"223","Ommen",0,0,0,1,1,1,1,2,2,3,4,4,6,6,7,7,7,10,10
"224","Oost Gelre",0,0,0,0,0,0,0,0,0,1,2,2,2,6,6,6,7,8,11
"225","Oosterhout",0,0,3,4,5,6,8,9,9,12,13,16,22,23,26,29,31,36,40
"226","Ooststellingwerf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"227","Oostzaan",0,0,0,0,0,0,1,2,2,3,3,4,5,5,6,7,7,7,7
"228","Opmeer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3
"229","Opsterland",2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,6,6,7
"230","Oss",2,3,3,4,5,11,14,20,26,35,44,59,65,73,81,100,128,141,154
"231","Oude IJsselstreek",0,0,0,0,0,1,2,2,2,2,4,4,4,4,4,5,5,7,10
"232","Ouder-Amstel",0,0,0,0,0,0,2,3,3,3,4,4,5,7,7,7,7,9,9
"233","Oudewater",0,0,0,0,1,1,1,1,2,2,3,4,4,7,10,12,18,21,21
"234","Overbetuwe",0,0,0,4,6,8,9,9,11,15,20,22,30,33,38,44,51,54,60
"235","Papendrecht",0,0,0,0,0,0,0,0,1,2,2,4,5,5,6,6,6,7,7
"236","Peel en Maas",3,4,8,10,14,19,31,36,41,49,63,64,69,79,88,96,107,119,134
"237","Pekela",0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"238","Pijnacker-Nootdorp",5,5,6,6,7,8,10,11,11,11,11,11,12,14,16,20,23,24,26
"239","Purmerend",1,1,2,2,2,2,2,4,7,11,14,20,22,23,32,39,48,52,56
"240","Putten",0,0,0,0,0,2,2,2,2,3,3,3,3,3,5,6,6,6,6
"241","Raalte",0,1,1,1,1,2,3,3,3,3,3,5,5,6,10,12,13,15,17
"242","Reimerswaal",0,1,1,1,1,2,2,3,4,5,5,5,5,6,7,7,7,7,7
"243","Renkum",7,7,7,7,8,8,8,8,8,9,9,10,10,11,12,14,17,18,19
"244","Renswoude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"245","Reusel-De Mierden",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,5,6
"246","Rheden",1,1,1,1,1,1,2,3,4,7,7,10,12,15,18,21,27,30,34
"247","Rhenen",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,6,6
"248","Ridderkerk",1,1,1,1,1,1,1,1,1,2,4,5,5,7,9,13,19,27,33
"249","Rijssen-Holten",0,0,0,0,0,0,0,0,0,2,3,4,4,4,9,13,13,17,21
"250","Rijswijk",0,0,0,0,0,1,2,3,3,4,4,5,7,8,10,11,14,16,17
"251","Roerdalen",0,0,0,0,0,0,0,1,1,4,4,6,7,10,10,11,13,14,14
"252","Roermond",1,1,1,2,2,2,4,6,13,15,18,21,23,26,28,29,31,32,32
"253","Roosendaal",1,1,2,2,5,6,6,6,7,8,8,11,16,18,20,24,25,25,26
"254","Rotterdam",15,15,20,24,25,30,41,58,81,104,120,139,149,163,186,204,249,308,341
"255","Rozendaal",0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"256","Rucphen",0,0,0,0,1,1,1,1,2,3,6,6,6,6,6,6,10,10,10
"257","Schagen",1,1,2,3,4,4,4,5,6,6,7,7,7,10,11,12,13,13,16
"258","Scherpenzeel",0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,5,4
"259","Schiedam",0,0,0,0,1,1,1,1,2,4,6,8,8,10,14,16,19,22,27
"260","Schiermonnikoog",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261","Schouwen-Duiveland",2,2,2,2,2,2,2,2,2,2,3,3,3,3,6,8,9,9,10
"262","Simpelveld",2,2,2,2,3,3,4,5,5,5,5,5,5,7,8,10,10,11,12
"263","Sint Anthonis",0,0,0,2,2,3,4,5,8,10,12,13,13,13,13,14,18,21,30
"264","Sint-Michielsgestel",5,5,5,6,6,8,8,10,10,12,12,14,14,17,18,22,28,29,32
"265","Sittard-Geleen",20,20,23,35,37,38,42,51,51,58,58,59,61,84,86,94,98,102,106
"266","Sliedrecht",0,0,0,0,0,0,1,1,1,2,3,3,3,4,5,7,6,6,6
"267","Sluis",0,0,0,0,1,2,2,2,2,3,3,4,4,5,5,6,6,6,6
"268","Smallingerland",1,1,1,2,3,3,3,3,3,3,3,3,3,3,4,5,5,7,8
"269","Soest",8,8,8,8,8,10,11,12,13,14,15,16,16,20,21,23,28,28,29
"270","Someren",0,0,0,1,1,1,2,3,3,5,5,6,7,7,10,15,19,22,27
"271","Son en Breugel",1,1,2,2,2,4,4,4,5,7,8,10,10,13,15,19,20,22,24
"272","Stadskanaal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"273","Staphorst",0,0,0,1,1,1,1,1,2,3,3,3,4,4,4,4,5,5,5
"274","Stede Broec",0,0,0,0,0,1,1,1,3,3,5,5,8,9,13,17,18,18,20
"275","Steenbergen",0,0,0,0,1,2,2,2,4,4,5,8,8,9,11,11,14,14,17
"276","Steenwijkerland",0,0,0,0,0,0,1,1,1,1,3,3,4,5,6,8,8,8,10
"277","Stein",1,1,1,3,3,3,3,4,4,5,5,6,9,24,24,28,29,31,32
