"","X","Gemeente","X11.Mar","X12.Mar","X13.Mar","X14.Mar","X15.Mar","X16.Mar","X17.Mar","X18.Mar","X19.Mar","X20.Mar","X21.Mar","X22.Mar","X23.Mar","X24.Mar","X25.Mar","X26.Mar","X27.Mar","X28.Mar"
"34",34,"Bergen (L)",0,0,0,0,0,0,0,1,1,NA,1,NA,1,1,1,1,2,2
"35",35,"Bergen (NH)",0,0,0,0,1,1,1,2,4,NA,6,NA,9,12,12,14,16,20
"36",36,"Bergen op Zoom",1,1,1,1,4,4,5,5,6,NA,9,NA,12,12,12,13,15,17
"37",37,"Berkelland",0,0,0,0,0,0,0,0,1,NA,1,NA,2,2,2,2,2,2
"38",38,"Bernheze",2,4,13,15,16,19,20,26,30,NA,41,NA,62,67,69,83,87,95
"39",39,"Best",3,3,3,3,3,4,5,6,6,NA,11,NA,14,17,19,21,23,23
"40",40,"Beuningen",3,3,3,4,4,5,6,6,6,NA,9,NA,12,13,15,15,16,18
"41",41,"Beverwijk",4,5,5,5,5,5,6,6,6,NA,6,NA,7,11,11,12,13,17
"42",42,"Bladel",0,0,0,1,1,1,1,2,3,NA,7,NA,12,14,15,15,15,18
"43",43,"Blaricum",1,1,1,1,1,1,1,2,2,NA,4,NA,4,4,5,6,6,6
"44",44,"Bloemendaal",1,1,1,1,1,1,3,3,3,NA,8,NA,11,13,13,16,17,19
"45",45,"Bodegraven-Reeuwijk",0,1,1,1,1,1,1,1,1,NA,3,NA,5,5,5,8,9,10
"46",46,"Boekel",7,8,11,12,12,14,14,19,20,NA,32,NA,40,42,42,42,51,53
"47",47,"Borger-Odoorn",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,1,1
"48",48,"Borne",3,2,3,3,3,3,3,3,3,NA,4,NA,7,8,11,12,13,15
"49",49,"Borsele",1,1,1,1,1,2,2,2,3,NA,3,NA,3,4,5,6,7,7
"50",50,"Boxmeer",0,0,1,1,1,1,1,2,2,NA,6,NA,7,9,9,10,13,17
"51",51,"Boxtel",0,1,1,2,2,3,5,5,6,NA,11,NA,12,15,15,19,22,24
"52",52,"Breda",32,42,53,64,71,86,96,105,113,NA,133,NA,161,167,181,201,215,227
"53",53,"Brielle",0,0,0,0,0,0,0,0,1,NA,1,NA,1,1,1,2,5,10
"54",54,"Bronckhorst",2,2,2,2,2,2,2,2,3,NA,6,NA,6,7,7,8,8,9
"55",55,"Brummen",0,0,0,0,0,0,0,0,1,NA,1,NA,4,4,4,4,5,5
"56",56,"Brunssum",0,0,0,0,0,0,2,4,4,NA,6,NA,8,17,20,22,24,25
"57",57,"Bunnik",0,0,0,0,0,0,0,0,1,NA,3,NA,4,6,8,9,9,10
"58",58,"Bunschoten",0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,3,3,3,4
"59",59,"Buren",0,1,2,2,2,4,4,4,5,NA,5,NA,5,6,7,7,7,7
"60",60,"Capelle aan den IJssel",0,0,0,0,0,0,1,1,2,NA,3,NA,7,13,23,26,31,41
"61",61,"Castricum",0,0,0,4,5,5,5,5,6,NA,7,NA,8,10,10,13,18,19
"62",62,"Coevorden",11,11,11,11,11,11,11,12,12,NA,14,NA,14,15,15,17,17,20
"63",63,"Cranendonck",1,1,2,2,2,2,5,6,6,NA,11,NA,19,23,25,31,42,42
"64",64,"Cuijk",1,1,2,2,2,2,2,2,4,NA,4,NA,5,6,8,8,8,10
"65",65,"Culemborg",1,1,2,2,2,2,4,4,4,NA,5,NA,5,8,8,14,14,16
"66",66,"Dalfsen",0,0,0,0,1,1,1,1,1,NA,5,NA,9,11,12,13,14,15
"67",67,"Dantumadiel",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,1,1,1
"68",68,"De Bilt",10,11,11,11,12,13,15,16,16,NA,19,NA,23,27,32,34,36,39
"69",69,"De Fryske Marren",0,1,2,2,3,3,3,5,5,NA,8,NA,8,8,9,12,12,17
"70",70,"De Ronde Venen",0,0,0,0,0,2,2,2,2,NA,3,NA,6,8,9,13,17,17
"71",71,"De Wolden",0,0,0,1,1,1,1,1,1,NA,3,NA,3,3,3,3,3,7
"72",72,"Delft",1,1,2,2,2,2,2,4,5,NA,11,NA,16,17,21,25,27,29
"73",73,"Delfzijl",0,0,0,0,0,0,0,0,0,NA,0,NA,1,1,1,2,4,7
"74",74,"Den Helder",1,1,1,1,1,1,1,1,2,NA,3,NA,4,5,5,6,9,9
"75",75,"Deurne",3,3,3,3,4,5,8,8,10,NA,19,NA,22,25,30,35,42,46
"76",76,"Deventer",0,0,0,0,1,2,4,5,5,NA,16,NA,17,20,26,30,33,45
"77",77,"Diemen",2,2,2,2,2,2,2,2,2,NA,3,NA,4,4,6,6,7,7
"78",78,"Dinkelland",2,1,3,4,4,5,5,6,8,NA,13,NA,15,17,20,25,28,30
"79",79,"Doesburg",0,0,0,0,1,1,1,1,1,NA,3,NA,4,4,5,5,6,6
"80",80,"Doetinchem",0,0,0,0,0,0,0,0,3,NA,5,NA,6,8,10,17,17,18
"81",81,"Dongen",4,4,4,5,5,5,5,5,5,NA,2,NA,2,4,6,6,10,12
"82",82,"Dordrecht",0,0,1,1,1,1,4,4,8,NA,12,NA,17,23,26,28,32,36
"83",83,"Drechterland",0,0,0,0,0,0,0,0,0,NA,2,NA,2,3,3,4,4,5
"84",84,"Drimmelen",1,3,5,5,5,7,11,12,13,NA,14,NA,16,17,20,21,24,26
"85",85,"Dronten",0,0,2,3,6,7,7,8,9,NA,11,NA,11,11,11,11,11,11
"86",86,"Druten",0,0,1,3,5,5,5,5,5,NA,5,NA,6,6,7,7,11,13
"87",87,"Duiven",0,0,1,1,1,1,1,2,2,NA,2,NA,2,2,2,3,4,6
"88",88,"Echt-Susteren",0,0,0,0,0,0,2,6,6,NA,11,NA,14,15,20,23,25,28
"89",89,"Edam-Volendam",0,0,0,0,0,0,0,0,3,NA,4,NA,6,7,9,10,14,14
"90",90,"Ede",0,0,0,0,1,2,2,5,5,NA,13,NA,21,22,26,33,37,46
"91",91,"Eemnes",0,0,0,0,0,0,0,1,1,NA,1,NA,1,1,1,1,1,1
"92",92,"Eersel",0,1,1,2,2,2,3,4,4,NA,7,NA,10,13,13,14,15,17
"93",93,"Eijsden-Margraten",0,0,0,1,3,4,4,4,4,NA,6,NA,7,15,20,26,32,43
"94",94,"Eindhoven",8,8,12,13,21,21,22,23,24,NA,35,NA,55,68,80,93,113,128
"95",95,"Elburg",0,0,1,1,1,1,1,1,1,NA,2,NA,4,4,5,6,9,11
"96",96,"Emmen",1,1,1,1,1,1,1,2,3,NA,4,NA,6,7,8,8,10,12
"97",97,"Enkhuizen",0,0,0,0,0,1,1,1,5,NA,6,NA,8,10,13,15,17,17
"98",98,"Enschede",1,3,3,3,3,3,3,4,7,NA,16,NA,20,20,26,34,45,49
"99",99,"Epe",0,0,0,0,0,2,2,4,4,NA,6,NA,10,13,15,16,18,20
"100",100,"Ermelo",1,3,4,5,7,8,8,8,8,NA,11,NA,13,14,17,17,18,19
"101",101,"Etten-Leur",5,5,6,7,8,10,12,13,14,NA,18,NA,24,24,31,37,40,50
"102",102,"Geertruidenberg",1,1,1,1,1,3,5,7,7,NA,7,NA,10,10,11,11,11,12
"103",103,"Geldrop-Mierlo",0,1,2,2,2,3,3,3,4,NA,6,NA,8,9,15,16,20,22
"104",104,"Gemert-Bakel",4,7,11,13,16,20,25,26,31,NA,42,NA,56,64,68,71,76,82
"105",105,"Gennep",0,0,1,1,1,1,1,2,4,NA,5,NA,7,7,7,8,9,14
"106",106,"Gilze en Rijen",0,0,1,1,1,1,1,3,5,NA,7,NA,13,16,18,19,22,25
"107",107,"Goeree-Overflakkee",0,0,1,1,2,4,5,7,8,NA,16,NA,36,43,44,56,77,92
"108",108,"Goes",2,2,2,2,2,2,2,3,3,NA,3,NA,3,4,4,7,12,12
"109",109,"Goirle",6,6,6,6,6,9,9,9,11,NA,12,NA,13,16,18,21,24,26
"110",110,"Gooise Meren",3,3,3,4,4,4,9,9,10,NA,11,NA,11,12,18,20,24,25
"111",111,"Gorinchem",0,0,0,0,0,0,0,0,1,NA,0,NA,2,4,8,9,13,14
"112",112,"Gouda",2,2,2,2,3,4,5,7,9,NA,12,NA,16,17,18,25,31,35
"113",113,"Grave",0,0,0,0,0,0,0,1,2,NA,6,NA,11,11,11,14,16,19
"114",114,"Groningen",0,2,3,3,6,7,7,11,23,NA,39,NA,53,53,58,76,80,85
"115",115,"Gulpen-Wittem",0,0,0,0,1,2,2,2,2,NA,2,NA,2,4,5,5,7,8
"116",116,"Haaksbergen",0,0,0,0,1,1,1,1,1,NA,1,NA,3,3,3,4,6,9
"117",117,"Haaren",6,6,7,7,7,7,7,9,9,NA,10,NA,12,12,12,14,18,21
"118",118,"Haarlem",1,1,4,4,4,6,7,7,10,NA,25,NA,29,41,46,54,66,73
"119",119,"Haarlemmermeer",0,0,0,0,1,2,4,4,5,NA,12,NA,18,23,23,30,40,45
"120",120,"Halderberge",0,0,0,0,0,2,2,2,2,NA,5,NA,7,8,8,8,10,12
"121",121,"Hardenberg",0,0,0,0,0,0,0,0,0,NA,3,NA,4,6,7,9,11,16
"122",122,"Harderwijk",0,2,2,2,2,4,4,5,5,NA,5,NA,8,9,13,14,18,18
"123",123,"Hardinxveld-Giessendam",5,5,5,5,5,5,5,5,5,NA,6,NA,6,6,6,6,7,7
"124",124,"Harlingen",0,0,0,0,0,1,1,1,1,NA,3,NA,3,3,3,3,3,3
"125",125,"Hattem",0,0,0,0,0,0,0,0,0,NA,1,NA,1,2,3,5,7,7
"126",126,"Heemskerk",0,0,1,1,1,2,2,2,3,NA,5,NA,5,7,9,10,16,19
"127",127,"Heemstede",1,2,2,2,2,5,5,5,5,NA,11,NA,13,16,17,21,24,27
"128",128,"Heerde",0,0,0,0,0,2,3,3,4,NA,9,NA,13,15,19,24,27,28
"129",129,"Heerenveen",0,0,0,0,0,0,0,0,0,NA,2,NA,3,3,3,4,5,7
"130",130,"Heerhugowaard",0,0,0,0,1,1,1,2,2,NA,5,NA,10,15,16,19,20,23
"131",131,"Heerlen",1,2,2,4,5,6,8,14,15,NA,19,NA,29,46,53,63,68,75
"132",132,"Heeze-Leende",1,1,1,1,1,2,3,4,4,NA,4,NA,7,7,10,10,12,12
"133",133,"Heiloo",0,0,2,2,2,3,3,3,3,NA,4,NA,6,8,9,10,13,13
